,City,Car_Name,Maker,Variant,Year,Model,Fuel_Type,KM_Driven,ownerNumber,Listing_Price,Discount,Original_Price,Car_Id,Cash_Down_Payment,Ex_Showroom_Price,On_Road_Price,CalculatedScore
0,North 24 Parganas,Maruti Swift,MARUTI,VXI,2020,SWIFT,Petrol,2944,1,614799,67350,682149,28666097786,0,600901,614799,474000
1,Kolkata,Mahindra BOLERO NEO,Mahindra,N 10,2022,BOLERO NEO,Diesel,1271,1,1206399,21150,1227549,11927278794,0,1196711,1206399,474000
2,Kolkata,Maruti Swift,MARUTI,VXI,2018,SWIFT,Petrol,79345,1,484299,72800,557099,1192823066,0,470401,484299,715000
3,Kolkata,Hyundai Santro Xing,HYUNDAI,GL,2010,SANTRO XING,Petrol,46556,2,166299,-600,166299,11952398763,0,152401,166299,72000
4,Kolkata,Hyundai Eon,Hyundai,MAGNA PLUS,2018,Eon,Petrol,2624,1,337399,-13400,337399,11946395768,0,327711,337399,468000
5,Howrah,Maruti Wagon R 1.0,Maruti,VXI,2014,Wagon R 1.0,Petrol,10953,1,356599,-5900,356599,12669979713,0,344057,356599,140000
6,Kolkata,Hyundai Elite i20,Hyundai,ERA 1.2,2019,Elite i20,Petrol,21415,1,532899,5000,537899,12695373777,0,519001,532899,474000
7,Kolkata,Maruti Swift,MARUTI,VXI,2018,SWIFT,Petrol,16301,1,559099,20000,579099,11944395772,0,545201,559099,370000
8,Kolkata,Volkswagen Polo,VOLKSWAGEN,HIGHLINE1.5L DIESEL,2015,POLO,Diesel,77595,1,359499,-15300,359499,11920798764,0,349811,359499,181000
9,Hooghly,Hyundai Eon,Hyundai,MAGNA PLUS,2014,Eon,Petrol,23786,1,227499,-500,227499,21127476790,0,214957,227499,140000
10,Hooghly,Mahindra Bolero,Mahindra,POWER+ SLE,2017,Bolero,Diesel,45095,1,570699,-32800,570699,21147870714,0,558511,570699,370000
11,Howrah,Tata Tiago,Tata,1.2 XT (O),2022,Tiago,Petrol,10687,1,577899,30500,608399,12652377718,0,564001,577899,507000
12,Kolkata,Hyundai i20,Hyundai,SPORTZ 1.2 O,2012,i20,Petrol,82883,2,289199,5000,294199,11917975799,0,279511,289199,140000
13,Kolkata,Hyundai i10,HYUNDAI,SPORTZ 1.2 KAPPA2,2013,I10,Petrol,72059,2,252799,17800,270599,11935095758,0,238901,252799,181000
